NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance (2010),"Catchpole, E.A., S.N. Freeman, B.J.T. Morgan, and M.P. Harris. 1998. Integrated recovery/
recapture data analysis. Biometrics 54(1):33-46.",Catchpole,BIOMETRICS,1998,1983,1991,9,terrestrial,Australia,Scotland,10.2307/2533993,60,,0,population dynamics for conservation biology models,NA,Rohrer,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Monitoring Climate Change Impacts: Metrics at the Intersection of the Human and Earth Systems,"Finzi, A. C., D. J. P. Moore, E. H. Delucia, J. Lichter, K. S. Hofmockel, R. B. Jackson, H.-S. Kim, R. Matamala, H. R. Mccarthy, R. Oren, J. S. Pippen, and W. H. Schlesinger. 2006. Progressive nitrogen limitation of ecosystem processes under elevated CO2‚ in a warm-temperate forest. Ecology, 87(1):15-25.",Finzi,ECOLOGY,2006,1983,2003,9,terrestrial,USA,USA,10.1890/04-1748,92,13.14,1,Will increased CO2 concentrations reduce NPP in the long run (progressive nitrogen limitation)?,"Used the year trees were planted as start date, but experiment did not start until 1996.",Cerny-Chipman,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Powell, S.L., W.B Cohen, S.P. Healey, R.E. Kennedy, G.G. Moi- sen, K.B. Pierce, and J.L. Ohmann, 2010, Quantification of live aboveground forest biomass dynamics with Landsat time-series and field inventory data: A comparison of empirical modeling approaches, Remote Sensing of Environment, 114, 1053-1068.",Powell,REMOTE SENS ENVIRON,2010,1985,2006,9,terrestrial,USA,USA,10.1016/j.rse.2009.12.018,32,,0,comparing satellite modelling to field surveys,"Also uses 22 year satellite data set, but I thought 9 field sampling years was a better estimate of sampling effort.",Rohrer,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Hudiburg, T., B.E. Law, D.P. Turner, J. Campbell, D. Donato, and M. Duane, 2009, Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage, Ecological Applications, 19, 163-180.",Hudiburg,ECOL APPL,2009,1991,1999,9,terrestrial,USA,USA,10.1890/07-2006.1,59,,0,Carbon uptake in Oregon and California forests,None,Shen,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Rayamajhi, M. B., P. D. Pratt, Ted D. Center, P. W. Tipping, and T. K. Van. 2009. Decline in exotic tree density facilitates increased plant diversity: The experience from Melaleuca quinquenervia invaded wetlands. Wetlands Ecology and Management 17:455–467.",Rayamajhi,WETL ECOL MANAG,2009,1997,2005,9,terrestrial,USA,USA,10.1007/s11273-008-9123-5,5,,1,invasive species effects on native ecosystem,NA,Rohrer,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bjorndal, K.A., A.B. Bolten, A.L. Coan, Jr., and P. Kleiber. 1995. Estimation of green turtle
(Chelonia mydas) growth rates from length­frequency analysis. Copeia 1995(1):71­77.",Bjorndal,COPEIA,1995,1983,1992,10,marine,USA,Bahamas,http://www.jstor.org/stable/pdfplus/1446800.pdf?&acceptTC=true&jpdConfirm=true,9,0.50,,"Estimation of green turtle
(Chelonia mydas) growth rates from length­frequency analysis.",None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance (2010),"Kendall, W.L. and R. Bjorkland. 2001. Using open robust design models to estimate temporary
emigration from capture-recapture data. Biometrics 57(4):1113-1122.",Kendall,BIOMETRICS,2001,1987,1996,10,marine,USA,Antigua (West Indies),10.1111/j.0006-341X.2001.01113.x,62,5.17,0,Modeling approach for analyzing capture-recapture data,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bjorndal, K.A. and A.B. Bolten. 2008. Annual variation in source contributions to a mixed stock: Implications for quantifying connectivity. Molecular Ecology 17(9):2185­2193.",Bjorndal,MOL ECOL,2008,1992,2003,10,marine,USA,Bahamas,10.1111/j.1365-294X.2008.03752.x,15,,1,Connectivity of sea turtle populations,1992-2003 except 1995 and 1999,Shen,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Lafferty, K.D. 2004. Fishing for lobsters indirectly increases epidemics in sea urchins. Ecological
Application 14(5):1566-1573.",Lafferty,ECOL APPL,2004,1992,2001,10,marine,USA,USA,10.1890/03-5088,73,,0,Effect of decreased lobster abundance on sea urchin epidemics,None,Shen,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Kraan, C., J.A. van Gils, B. Spaans, A. Dekinga, A.I. Bijleveld, M. van Roomen, R. Kleefstra, and T. Piersma. 2009. Landscape-scale experiment demonstrates that Wadden Sea intertidal flats are used to capacity by molluscivore migrant shorebirds. Journal of Animal Ecology 78(6):1259-1268.",Kraan,J ANIM ECOL,2009,1996,2005,10,marine,Netherlands,Netherlands,10.1111/j.1365-2656.2009.01564.x,24,6.00,0,Landscape-scale experiment demonstrates that Wadden Sea intertidal flats are used to capacity by molluscivore migrant shorebirds,NA,Hettinger,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Peckham, S.H., D.D. Maldonado, A. Walli, G. Ruiz, L.B. Crowder, and W.J. Nichols. 2007. Small­scale fisheries bycatch jeopardizes endangered Pacific loggerhead turtles. PLoS ONE 2(10):e1041.",Peckham,PLOS ONE,2007,1996,2005,10,marine,USA,Pacific Ocean,10.1371/journal.pone.0001041,48,8.00,0,Where do loggerhead turtles spend their time and are they affected by local fisheries bycatch?,None,Barner,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Behrenfeld, M. J., R. T. O’Malley, D. A. Siegel, C. R. McClain, J. L. Sarmiento, G. C. Feldman,
A. J. Milligan, P. G. Falkowski, R. M. Letelier, and E. S. Boss. 2006. Climate-driven trends
in contemporary ocean productivity. Nature 444 (7120):752-755, DOI: 10.1038/nature05317.",Behrenfeld,NATURE,2006,1997,2006,10,marine,USA,Pacific Ocean,10.1038/nature05317,438,62.57,,Climate-driven trends in contemporary ocean productivity,None,Robinson,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Behrenfeld, M. J., R. T. O’malley, D. A. Siegel, C. R. Mcclain, J. L. Sarmiento, G. C. Feldman, A. J. Milligan, P. G. Falkowski, R. M. Letelier, and E. S. Boss. 2006. Climate-driven trends in contemporary ocean productivity. Nature 444 (7120):752-755.",Behrenfeld,NATURE,2006,1997,2006,10,marine,USA,USA,10.1038/nature05317 ,443,,1,primary productivity changes due to climate trends,NA,Rohrer,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Polovina, J. J., E. A. Howell, and M. Abecassis. 2008. Ocean’s least productive waters are expanding.
Geophysical Research Letters 35 (3):L03618, DOI: 10.1029/2007GL031745.",Polovina,GEOPHYS RES LETT,2008,1998,2007,10,marine,USA,Pacific Ocean/Atlantic Ocean,10.1029/2007GL031745,133,,1,Has the surface chlorophyll changed over the past 9 years in the Pacific and Atlantic Oceans?,NA,GrorudColvert,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Searchinger, T., R. Heimlich, R.A. Houghton, F.X. Dong, A. Elo- beid, J. Fabiosa, S. Tokgoz, D. Hayes, and T.H. Yu, 2008, Use of U.S. croplands for biofuels increases greenhouse gases through emissions from land-use change, Science, 319, 1238-1240.",Searchinger,SCIENCE,2008,1990,1999,10,terrestrial,USA,GLOBAL,10.1126/science.1151861,1103,,0,Effect of growing biofuel on greenhouse gas emissions,"""To calculate emissions, we used data compiled at the Woods Hole
Research Center to estimate the net conversion of different types of
ecosystems (for example, forests or grasslands) to cropland in each major
world region over the period of 1990-99."" Data provided in Appendix D are summed across the 1990s.",Shen,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Barford, C.C., S.C. Wofsy, M.L. Goulden, J.W. Munger, E. Pyle, S.P. Urbanski, L. Hutyra, S.R. Saleska, D. Fitzjarrald, and K. Moor, 2001, Factors controlling long- and short-term sequestration of atmospheric CO2 in a mid-latitude forest, Science, 294, 1688-1691.",Barford,SCIENCE,2001,1991,2000,10,terrestrial,USA,USA,10.1126/science.1062962,287,,0,forest carbon sequestration,NA,Rohrer,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Carrière, Y., C. Ellers-Kirk, M.S. Sisterson, L. Antilla, M. Whitlow, T.J. Dennehy, and
B.E. Tabashnik. 2003. Long-term regional suppression of pink bollworm by Bacillus
thuringiensis
cotton. Proceedings of the National Academy of Sciences of the United States of
America 100(4):1519–1523.",Carrière,P NATL ACAD SCI USA,2003,1992,2001,10,terrestrial,USA,USA,10.1073/pnas.0436708100,154,,1,use of genetically modified plants reduces the need for insectiside spray over the long term,None,Focht,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Darby, P. C., R. E. Bennetts, and H. F. Percival. 2008. Dry down impacts on apple snail (Pomacea paludosa) demography: Implications for wetland water management. Wetlands 28:204–214.",Darby,WETLANDS,2008,1995,2005,11,freshwater,USA,USA,10.1672/07-115.1,9,1.80,1,Dry down impacts on apple snail demography,NA,Hettinger,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Peterson, C.H. 2002. Recruitment overfishing in a bivalve mollusk fishery: Hard clams
(Mercenaria mercenaria) in North Carolina. Canadian Journal of Fisheries and Aquatic Sciences
59:96-104.",Peterson,CAN J FISH AQUAT SCI,2002,1978,2001,11,marine,USA,USA,10.1139/F01-196,24,,1,Overfishing clams,"1978-1981, 1983, 1984, 1986, 1987, 1994, 1995, 2001",Shen,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bjorndal, K.A., A.B. Bolten, and H.R. Martins. 2003b. Estimates of survival probabilities for oceanic­stage loggerhead sea turtles (Caretta caretta) in the North Atlantic. Fishery Bulletin 101:732­736.",Bjorndal,FISH B-NOAA,2003,1984,1995,11,marine,USA,Atlantic Ocean,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=18&SID=1FHAz7FgFNM8WcLDjvC&page=1&doc=1,9,0.90,,Estimates of survival probabilities for oceanic­stage loggerhead sea turtles (Caretta caretta) in the North Atlantic.,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Beggs, J.A., J.A. Horrocks, and B.H. Krueger. 2007. Increase in hawksbill sea turtle Eretmochelys
imbricata nesting in Barbados, West Indies. Endangered Species Research 3:159­168.",Beggs,ENDANG SPECIES RES,2007,1987,1997,11,marine,West Indies,West Indies,10.3354/esr003159,42,7.00,,"Increase in hawksbill sea turtle Eretmochelys
imbricata nesting in Barbados, West Indies.",None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Piersma, T., A. Koolhaas, A. Dekinga, J.J. Beukema, R. Dekker, and K. Essink. 2001. Longterm indirect effects of mechanical cockle-dredging on intertidal bivalve stocks in the Wadden Sea. Journal of Applied Ecology 38:976-990.",Piersma,J APPL ECOL,2001,1988,1998,11,marine,Netherlands,Netherlands,10.1046/j.1365-2664.2001.00652.x,83,6.92,0,Longterm indirect effects of mechanical cockle-dredging on intertidal bivalve stocks in the Wadden Sea,NA,Hettinger,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Jackson, A.L., A.C. Broderick, W.J. Fuller, F. Glen, G.D. Ruxton, and B.J. Godley. 2008. Sampling
design and its effect on population monitoring: How much monitoring do turtles
really need? Biological Conservation 141:2932-2941.",Jackson,BIOL CONSERV,2008,1993,2003,11,marine,Ireland,Cyprus,10.1016/j.biocon.2008.09.002,4,0.80,0,What is the most effective way to monitor turtle populations?,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Henson, S. A., J. L. Sarmiento, J. P. Dunne, L. Bopp, I. Lima, S. C. Doney, J. John, and C. Beaulieu. 2010. Detection of anthropogenic climate change in satellite records of ocean chlorophyll and productivity. Biogeosciences 7 (2):621-640.",Henson,BIOGEOSCIENCES,2010,1997,2007,11,marine,USA,GLOBAL,10.5194/bg-7-621-2010,51,17.00,0,Detection of anthropogenic climate change in satellite records of ocean chlorophyll and productivity,NA,Hettinger,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Becker, B.H., D.T. Press, and S.G. Allen. 2009. Modeling the effects of El Nin?o, density- dependence, and disturbance on harbor seal (Phoca vitulina) counts in Drakes Estero, California: 1997-2007. Marine Mammal Science 25(1):1-18.",Becker,MAR MAMMAL SCI,2009,1997,2007,11,marine,USA,USA,10.1111/j.1748-7692.2008.00234.x,4,,0,"Effects of ENSO, density-dependence, and oyster mariculture on haul-out use by seals",None,Shen,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Root, T. 1988. Environmental-factors associated with avian distributional boundaries. Journal of Biogeography 15 (3):489-505.",Root,J BIOGEOGR,1988,1962,1972,11,terrestrial,USA,USA/Canada,10.2307/2845278,193,,0,,None,Rose,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Understanding the Changing Planet : Strategic Directions for the Geographical Sciences,"Araújo, M. B., R. J. Whittaker, R. J. Ladle, and M. Erhard. 2005. Reducing uncertainty in projections of extinction risk from climate change. Global Ecology and Biogeography 14:529-538.",Araujo,GLOBAL ECOL BIOGEOGR,2005,1976,1991,11,terrestrial,United Kingdom,United Kingdom,10.1111/j.1466-822x.2005.00182.x,185,23.13,1,Reducing uncertainty in projections of extinction risk from climate change,Nearly a metaanalysis…,Hettinger,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Myneni, R. B., C. J. Tucker, G. Asrar, and C. D. Keeling. 1998. Interannual variations in
satellite-sensed vegetation index data from 1981 to 1991 (vol 103, pg 6145, 1998). Journal
of Geophysical Research-Atmospheres 103 (D16):19839-19839.",Myneni,J GEOPHYS RES- ATMOS,1998,1981,1991,11,terrestrial,USA,GLOBAL,10.1029/98JD01732,1,,1,Interannual variations in vegetation index data,None,Shen,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Hu, W., K. Mengersen, A. Mcmichael, and S. Tong. 2008. Temperature, air pollution and total mortality during summers in Sydney, 1994-2004. International Journal of Biometeorology 52(7):689-696.",Hu,INT J BIOMETEOROL,2008,1994,2004,11,terrestrial,Australia,Australia,10.1007/s00484-008-0161-8 ,21,,0,"How has temp and air pollution affected total human mortality rates in Sydney, AUS over an 11-year period?",Modeling paper but uses physical ecological variables,Reimer,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Schummer, M. L., R. M. Kaminski, A. H. Raedeke, and D. A. Graber. 2010. Weather-related
indices of autumn-winter dabbling duck abundance in middle North America. Journal of Wildlife Management 74(1):94-101.",Schummer,J WILDLIFE MANAG,2010,1995,2005,11,terrestrial,USA,USA,10.2193/2008-524,5,1.67,0,How does weather affect the abundance of the dabbling duck in Missouri?,NA,Cerny-Chipman,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Kremer, R.J., and N.E. Means. 2009. Glyphosate and glyphosate-resistant crop interactions
with rhizosphere microorganisms. European Journal of Agronomy 31(3):153–161",Kremer,EUR J AGRON,2009,1997,2007,11,terrestrial,USA,USA,10.1016/j.eja.2009.06.004,30,,0,Effects of glyphosate applied to glyphosate-resistant crops on soil bacteria,None,Shen,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Kimmerer, W. J. 2008b. Losses of Sacramento River Chinook salmon and Delta smelt to entrainment in water diversions in the Sacramento-San Joaquin Delta. San Francisco Estuary and Watershed Science 6(2).",Kimmerer,SFEWS,2008,1995,2006,12,freshwater,USA,USA,http://www.escholarship.org/uc/item/7v92h6fs,1,0.20,0,Chinook salmon and Delta smela loss from entrainment,NA,Hettinger,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Barbier, E. B., E. W. Koch, B. R. Silliman, S. D. Hacker, E. Wolanski, J. Primavera, E. F. Granek, S. Polasky, S. Aswani, L. A. Cramer, D. M. Stoms, C. J. Kennedy, D. Bael, C. V. Kappel, G. M. E. Perillo, and D. J. Reed. 2008. Coastal ecosystem-based management with nonlinear ecological functions and values. Science 319(5861):321-323.",Barbier,SCIENCE,2008,1982,2004,12,marine,USA,GLOBAL,10.1126/science.1150349,113,22.60,0,Ecosystem services based on non-linear functions,"Raw data from other studies- went to 5 studies, found all.",Close,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Grebmeier, J.M., J.E. Overland, S.E. Moore, E.V. Farley, E.C. Carmack, L.W. Cooper, K.E. Frey, J.H. Helle, F.A. McLaughlin, and S.L. McNutt. 2006. A major ecosystem shift in the Northern Bering Sea. Science 311(5766): 1461­1464.",Grebmeier,SCIENCE,2006,1988,2005,12,marine,USA,Bering Sea,10.1126/science.1121365,278,39.71,1,How has ecosystem in benthic Bering Sea changed with shifts in regional atmospheric/ hydrographic forcing?,Used duration for ecological data set - benthic biomass (not SST),Barner,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Stachowicz, J.J., J.R. Terwin, R.B. Whitlatch, and R.W. Osman. 2002. Linking climate change and biological invasions: Ocean warming facilities nonindigenous species invasions. Proceedings of the National Academy of Sciences of the United States of America 99(24):15497-15500.",Stachowicz,P NATL ACAD SCI USA,2002,1991,2002,12,marine,USA,USA,10.1073/pnas.242437499,257,,1,,Excellent Long-term Example!,Rose,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Barry, J.P., P.J. Whaling, and R.K. Kochevar. 2007. Growth, production, and mortality of the chemosynthetic vesicomyid bivalve Calyptogena kilmeri from cold seeps off central California. Marine Ecology 28(1): 169­182.",Barry,MAR ECOL-EVOL PERSP,2006,1992,2003,12,marine,USA,USA,10.1111/j.1439-0485.2007.00119.x,6,0.86,0,"Estimates the population size structure, biomass, rates of individual
growth, somatic production, and mortality for C. kilmeri, based on
sampling of seep habitats and tag–recapture studies at chemosynthetic communities
in Monterey Bay, California.",None,Reimer,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Saba, V.S., P. Santidrian­Tomillo, R.D. Reina, J.R. Spotila, J.A. Musick, D.A. Evans, and F.V. Paladino. 2007. The effect of the El Nin?o Southern Oscillation on the reproductive fre­ quency of eastern Pacific leatherback turtles. Journal of Applied Ecology 44(2):395­404.",Saba,J APPL ECOL,2007,1993,2004,12,marine,USA,Costa Rica,10.1111/j.1365-2664.2007.01276.x ,47,7.83,,The effect of the El Nin?o Southern Oscillation on the reproductive fre­ quency of eastern Pacific leatherback turtles.,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Gilman, E., D. Kobayashi, T. Swenarton, N. Brothers, P. Dalzell, and I. Kinan­Kelly. 2007. Reducing sea turtle interactions in the Hawaii­based longline swordfish fishery. Biologi- cal Conservation 139(1­2):19­28.",Gilman,BIOL CONSERV,2007,1994,2006,12,marine,USA,USA,10.1016/j.biocon.2007.06.002,54,9.00,0,How do management decisions affect population management?,None,Close,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Medina-Ramon, M. and J. Schwartz. 2007. Temperature, temperature extremes, and mortality:
a study of acclimatisation and effect modification in 50 US cities. Occupational and
Environmental Medicine 64 (12):827-833, DOI: 10.1136/oem.2007.033175.",Medina-Ramon,OCCUP ENVIRON MED,2007,1989,2000,12,terrestrial,USA,USA,10.1136/oem.2007.033175,73,,0,human response to heat waves,NA,Rohrer,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Kjelson, M. A., and P. L. Brandes. 1989. The use of smolt estimates to quantify the effects of habitat changes in salmonid stocks in the Sacramento-San Joaquin Rivers, California. Pp. 100-115 In C. D. Levings, L. B. Holtby, and M. A. Henderson, editors. Proceedings of the National Workshop on Effects of Habitat Alteration on Salmonid Stocks. Special Publication of the Canadian Jorurnal and Aquatic Sciences 105.",Kjelson,CAN J FISH AQUAT SCI,1989,1969,1987,13,freshwater,USA,USA,NA,NA,,0,Effects of habitat on salmon stocks,1969-1971; 1978-1987,Shen,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Johnson, L.E., J.M. Bossenbroek, and C.E. Craft. 2006. Patterns and pathways in the postestablishment spread of non-indigenous aquatic species: The slowing invasion of North American inland lakes by zebra mussels. Biological Invasions 8(3):475-489.",Johnson,BIOL INVASIONS,2006,1991,2003,13,freshwater,Canada,USA,10.1007/s10530-005-6412-2,19,2.71,,Patterns and pathways in the postestablishment spread of non-indigenous aquatic species: The slowing invasion of North American inland lakes by zebra mussels.,None,Robinson,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Advancing the Science of Climate Change,"Field, C. B., M. J. Behrenfeld, J. T. Randerson, and P. Falkowski. 1998. Primary production of the biosphere: Integrating terrestrial and oceanic components. Science 281 (5374):237-240.",Field,SCIENCE,1998,1978,1990,13,marine/terrestrial,USA,GLOBAL,10.1126/science.281.5374.237,937,,0,global NPP,"modeling, uses remote sensing data, mostly abiotic except for vegetation cover. Is this ecology?",Shen,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Martin, J., W. M. Kitchens, C. E. Cattau, and M. K. Oli. 2008. Relative importance of natural disturbances and habitat degradation on snail kite population dynamics. Endangered Species Research 6:25–39.",Martin,ENDANG SPECIES RES,2008,1992,2005,13,terrestrial,USA,USA,http://www.int-res.com/articles/esr2008/6/n006p025.pdf,NA,#VALUE!,,Relative importance of natural disturbances and habitat degradation on snail kite population dynamics.,None,Robinson,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Verifying Greenhouse Gas Emissions: Methods to Support International Climate Agreements,"Urbanski, S., C. Barford, S. Wofsy, C. Kucharik, E. Pyle, J. Budney, K. McKain, D. Fitzjarrald, M. Czikowsky, and J.W. Munger, 2007, Factors controlling CO2 exchange on timescales from hourly to decadal at Harvard Forest, Journal of Geophysical Research, 112, G02020, doi:10.1029/2006JG000293.",Urbankski,JOURNAL OF GEOPHYSICAL RESEARCH,2007,1992,2004,13,terrestrial,USA,USA,10.1029/2006JG000293,137,,1,co2 uptake rates in a forext monitored over the long term-uptake increased dramatically during the study despite the old age of the forest,None,Focht,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Bowen, B.W., A.B. Meylan, J.P. Ross, C.J. Limpus, G.H. Balazs, and J.C. Avise. 1992. Global population structure and natural history of the green turtle (Chelonia mydas) in terms of matriarchal phylogeny. Evolution 46(4):865­881.",Bowen,EVOLUTION,1992,1970,1990,14,marine,USA,GLOBAL,10.2307/2409742,184,8.76,0,Evolutionary relationships of green sea turtles.,"Lots of unavailable studies when looking up additional sources of data, so the duration is an estimate based only on studies I could access.",Close,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Nichols, F.H., J.K. Thompson, and L.E. Schemel. 1990. Remarkable invasion of San Francisco Bay (California, USA) by the Asian clam Potamocorbula amurensis. II. Displacement of a former community. Marine Ecology Progress Series 66:95-101.",Nichols,MAR ECOL PROG SER,1990,1975,1988,14,marine,USA,USA,  10.3354/meps066081,146,,1,Tracking the invasion of Asian clam in San Francisco Bay,NA,GrorudColvert,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Frank, K.T., B. Petrie, N.L. Shackell, and J.S. Choi. 2006. Reconciling differences in trophic control in mid­latitude marine ecosystems. Ecology Letters 9: 1096­105.",Frank,ECOL LETT,2006,1978,1991,14,marine,Canada,Canada,10.1111/j.1461-0248.2006.00961.x,75,,0,understanding trophic control along different atlantic latitudes,None,Focht,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Crowder, L.B., S.R. Hopkins­Murphy, and J.A. Royle. 1995. Effects of turtle excluder devices (TEDs) on loggerhead sea turtle strandings with implications for conservation. Copeia 1995:773­779.",Crowder,COPEIA,1995,1980,1993,14,marine,USA,USA,NA,34,,1,fishing regulation affects species recovery,NA,Rohrer,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"De‘ath, G., J.M. Lough, and K.E. Fabricius. 2009. Declining coral calcification on the Great Barrier Reef. Science 323: 116­119.",De'ath,SCIENCE,2009,1983,2005,14,marine,Australia,Australia,10.1126/science.1165283,163,,1,coral reef decline,NA,Rohrer,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Grimaldo, L. F., T. Sommer, N. Van Ark, G. Jones, E. Holland, P. Moyle, B. Herbold, and P. Smith. 2009. Factors affecting fish entrainment into mas- sive water diversions in a freshwater tidal estuary: Can fish losses be managed? North American Journal of Fisheries Management 29: 1253-1270.",Grimaldo,AMERICAN JOURNAL OF FISHERIES MANAGEMENT,2009,1992,2005,14,marine,USA,USA,10.1577/M08-062.1,10,,0,factors determining fish entrainment,None,Focht,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
